status	url	deploymentPath
OK	https://shadowgarden-bon.pages.dev/assets/css/admin.css?v=2.11.0	/assets/css/admin.css
OK	https://shadowgarden-bon.pages.dev/assets/css/admin-preflight.css?v=2.11.0	/assets/css/admin-preflight.css
OK	https://shadowgarden-bon.pages.dev/assets/css/admin-batch.css?v=2.11.0	/assets/css/admin-batch.css
OK	https://shadowgarden-bon.pages.dev/assets/css/admin-maintenance.css?v=2.11.0	/assets/css/admin-maintenance.css
OK	https://shadowgarden-bon.pages.dev/assets/css/admin-series-editor.css?v=2.11.0	/assets/css/admin-series-editor.css
OK	https://shadowgarden-bon.pages.dev/assets/css/admin-layout.css?v=2.11.0	/assets/css/admin-layout.css
OK	https://shadowgarden-bon.pages.dev/assets/css/admin-components.css?v=2.11.0	/assets/css/admin-components.css
OK	https://shadowgarden-bon.pages.dev/assets/css/admin-version.css?v=2.11.0	/assets/css/admin-version.css
OK	https://shadowgarden-bon.pages.dev/assets/css/admin-presentation.css?v=2.11.0	/assets/css/admin-presentation.css
OK	https://shadowgarden-bon.pages.dev/assets/css/admin-motion.css?v=2.11.0	/assets/css/admin-motion.css
OK	https://shadowgarden-bon.pages.dev/assets/vendor/jszip.min.js?v=2.11.0	/assets/vendor/jszip.min.js
OK	https://shadowgarden-bon.pages.dev/assets/js/admin/core.js?v=2.11.0	/assets/js/admin/core.js
OK	https://shadowgarden-bon.pages.dev/assets/js/admin/app.js?v=2.11.0	/assets/js/admin/app.js
OK	https://shadowgarden-bon.pages.dev/assets/css/adult.css?v=2.11.0	/assets/css/adult.css
OK	https://shadowgarden-bon.pages.dev/assets/css/reader.css?v=2.11.0	/assets/css/reader.css
OK	https://shadowgarden-bon.pages.dev/assets/css/reader-continuous-rail.css?v=2.11.0	/assets/css/reader-continuous-rail.css
OK	https://shadowgarden-bon.pages.dev/assets/css/reader-page-map.css?v=2.11.0	/assets/css/reader-page-map.css
OK	https://shadowgarden-bon.pages.dev/assets/css/reader-completion.css?v=2.11.0	/assets/css/reader-completion.css
OK	https://shadowgarden-bon.pages.dev/assets/css/reader-end-page.css?v=2.11.0	/assets/css/reader-end-page.css
OK	https://shadowgarden-bon.pages.dev/assets/css/reader-image-focus.css?v=2.11.0	/assets/css/reader-image-focus.css
OK	https://shadowgarden-bon.pages.dev/assets/css/reader-notes.css?v=2.11.0	/assets/css/reader-notes.css
OK	https://shadowgarden-bon.pages.dev/assets/css/reader-a11y.css?v=2.11.0	/assets/css/reader-a11y.css
OK	https://shadowgarden-bon.pages.dev/assets/css/reader-interface-themes.css?v=2.11.0	/assets/css/reader-interface-themes.css
OK	https://shadowgarden-bon.pages.dev/assets/css/reader-presentation.css?v=2.11.0	/assets/css/reader-presentation.css
OK	https://shadowgarden-bon.pages.dev/assets/css/reader-motion.css?v=2.11.0	/assets/css/reader-motion.css
OK	https://shadowgarden-bon.pages.dev/assets/vendor/epub.min.js?v=2.11.0	/assets/vendor/epub.min.js
OK	https://shadowgarden-bon.pages.dev/assets/js/book-access.js?v=2.11.0	/assets/js/book-access.js
OK	https://shadowgarden-bon.pages.dev/assets/js/reader-continuous-rail.js?v=2.11.0	/assets/js/reader-continuous-rail.js
